"id","title","displayAddress","bathrooms","bedrooms","addedOn","type","rera","propertyType","price"
"10837871","★ EXCLUSIVE RELEASE ★ | LUXURY 3 BED FLAT | GOLDEN VISA | MAID | FLEXI PAYMENTS | GENUINE DIRECT","Sobha One, Sobha Hartland, Mohammed Bin Rashid City, Dubai","2","3","2024-01-06T17:05:24+00:00","buy","0817185656","apartment","3950000"
"10880180","★ BUY NOW 624,000AED ★ (20% FIRST PAYMENT + 4% DLD) | MAIDS | FLEXI PLAN | LUXURY | HIGH ROI | INVESTMENT","Sobha Verde, Jumeirah Lake Towers, Dubai","2","3","2024-01-13T21:19:31+00:00","buy","0817185656","apartment","2600000"
"11220200","GREEN HEART OF DUBAI |URBAN DESIGN | LUXURY LIVING","Park Horizon, Dubai Hills Estate, Dubai","2","3","2024-03-12T03:18:54+00:00","buy","2125965775","apartment","3450000"
"11176502","Prime Location | Corner Spacious Unit | BrightUnit","AZIZI Riviera, Meydan One, Meydan, Dubai","2","3","2024-03-04T06:53:51+00:00","buy","71149777382","apartment","2000000"
"11179908","Very Limited | Ideal For Investment | 40% Discount","Verdana, Dubai Investment Park, Dubai","2","0","2024-03-04T13:24:39+00:00","buy","0465261649","apartment","284000"
"10860296","Burj And Fountain View | 5 Year PHPP I 3 Service","Forte 1, Forte, Downtown Dubai, Dubai","2","3","2024-01-10T13:08:51+00:00","buy","7123592074","apartment","5000000"
"10965609","Modern 3BHK | Ready to Move | Good for ROI","Binghatti Crest, Jumeirah Village Circle, Dubai","2","3","2024-01-29T03:12:40+00:00","buy","71446825013","apartment","1570000"
"11034735","DUPLEX  |  SEPARATED |  UNIQUE | MARINA VIEW","Cayan Tower, Dubai Marina, Dubai","2","0","2024-02-08T08:01:54+00:00","buy","7110258228","apartment","2700000"
"11115936","Well Kept | Marina View | Prime Location","Marina Wharf 2, Marina Wharf, Dubai Marina, Dubai","2","3","2024-02-22T10:04:55+00:00","buy","7118054014","apartment","1950000"
"11111909","Vast Unit | Smart Home | P.P6 YEASR /NO Commission","Souks Residential, Al Mamsha, Muwaileh, Sharjah","2","3","2024-02-21T13:14:20+00:00","buy","","apartment","1499000"
"11209362","Large 3BR Full Burj Khalifa View Best Type","South Ridge 1, South Ridge, Downtown Dubai, Dubai","2","3","2024-03-09T08:06:29+00:00","buy","7119789300","apartment","5000000"
"11209352","Best Type Full Burj Khalifa View Large Layout","South Ridge 6, South Ridge, Downtown Dubai, Dubai","2","3","2024-03-09T08:03:12+00:00","buy","7120153400","apartment","5400000"
"11200264","Brand New | Pool and Community Views | High Floor","Binghatti Crest, Jumeirah Village Circle, Dubai","2","3","2024-03-07T14:04:53+00:00","buy","71446824633","apartment","1600000"
"11134014","Luxury Upgrade | Loft | Full Sea Views | Vacant","Bahar 2, Bahar, Jumeirah Beach Residence, Dubai","2","3","2024-02-26T09:33:05+00:00","buy","7151743020","apartment","6500000"
"10657803","Gardenia/3BHK+M","Gardenia Bay, Yas Island, Abu Dhabi","2","3","2023-11-30T06:23:45+00:00","buy","","apartment","2754938"
"10912737","Upgraded | Vacant | Exclusive to Betterhomes.","Building E, Garden East Apartments, Green Community, Dubai","2","3","2024-01-19T06:45:42+00:00","buy","7168761760","apartment","2950000"
"11196996","Spacious Unit // Top Floor // Garden View","Glitz 3, Glitz, Dubai Studio City, Dubai","2","3","2024-03-07T05:26:13+00:00","buy","7121611474","apartment","1350000"
"10787656","Studio | Lagoon Community | Near Metro","Azizi Venice, Dubai South (Dubai World Central), Dubai","2","0","2023-12-27T04:37:18+00:00","buy","0779618182","apartment","796000"
"11174240","Fully Furnished✅5 YRS Payment Plan✅ROI 60K YEARLY✅","Red Square Tower, Jumeirah Village Triangle, Dubai","2","0","2024-03-04T03:16:06+00:00","buy","0576851571","apartment","585000"
"11018124","Owner Occupied | Upgraded | Large Terrace","Jenna Main Square 2, Jenna Main Square, Town Square, Dubai","2","3","2024-02-06T10:28:02+00:00","buy","7126231959","apartment","2100000"
"11209977","3BHK BEST PRICE |FREEHOLD | 90 MONTHS PLAN","Raseel, Al Mamsha, Muwaileh, Sharjah","2","3","2024-03-09T11:08:13+00:00","buy","","apartment","1470000"
"11241925","0% interest | 4 years Payment plan","Nas3, Arjan, Dubai","2","0","2024-03-15T02:24:30+00:00","buy","1866863663","apartment","620000"
"11242203","1% Post Handover | Burj Khalifa View","Ozone 1 Residence, District 13, Jumeirah Village Circle, Dubai","2","0","2024-03-15T02:54:00+00:00","buy","1390788895","apartment","554000"
"11140425","3 Bedroom | Available Now | Garden View","Al Jaz 1, Al Jaz, Greens, Dubai","2","3","2024-02-27T07:27:40+00:00","buy","7115062900","apartment","2250000"
"11162310","Fully Upgraded | Modified Layout | Vacant Soon","The Views 1, The Views, Dubai","2","3","2024-03-01T08:24:22+00:00","buy","7115323700","apartment","3000000"
"11075687","Sea View | Fully Furnished | High Floor | Vacant","Apartment Building 7, Bluewaters Residences, Bluewaters, Dubai","2","3","2024-02-15T08:18:38+00:00","buy","7148980826","apartment","14500000"
"11134082","Full Boulevard View | Spacious Layout | VOT","AZIZI Riviera 13, Meydan One, Meydan, Dubai","2","3","2024-02-26T05:39:53+00:00","buy","71141742392","apartment","2500000"
"10950225","Quattro Del Mar I Studio I Island Living Luxury","Quattro Del Mar, Hayat Island, Mina Al Arab, Ras Al Khaimah","2","0","2024-01-25T07:46:22+00:00","buy","","apartment","920000"
"10909072","Luxury 3BHK Hotel Apartment  l Casino View","Marjan Island Resort and Spa, Al Marjan Island, Ras Al Khaimah","2","3","2024-01-18T07:30:49+00:00","buy","","apartment","4000000"
"11062653","High Floor | Incredible unit | Prime Location","Orchid, Creek Beach, Dubai Creek Harbour (The Lagoons), Dubai","2","3","2024-02-13T10:44:24+00:00","buy","71409882267","apartment","3199000"
"10977408","VIP Suite | Panoramic Views | High ROI","Ciel Tower, Dubai Marina, Dubai","2","0","2024-01-30T14:05:43+00:00","buy","71216090061","apartment","3200000"
"11073866","Genuine Resale | Block A | Lake View | Spacious","Seven City JLT, Jumeirah Lake Towers, Dubai","2","3","2024-02-15T10:05:44+00:00","buy","71199026757","apartment","2100000"
"11110151","3 BR plus Laundry Room| Spacious | Investors Deal","Zahra Breeze Apartments 3B, Zahra Breeze Apartments, Town Square, Dubai","2","3","2024-02-21T12:25:44+00:00","buy","7125707519","apartment","1350000"
"11089424","NEW LAUNCH | CRYSTAL LAGOON | MULTIPLE OPTIONS","Azizi Venice, Dubai South (Dubai World Central), Dubai","2","3","2024-02-18T05:53:41+00:00","buy","1132248013","apartment","2425000"
"11217591","Brand New | First tenant | Emaar","Urbana, EMAAR South, Dubai South (Dubai World Central), Dubai","2","3","2024-03-11T12:05:48+00:00","buy","7134681132","apartment","1800000"
"11145162","Fully Furnished | Prime Location | High Floor","Lake Terrace, Lake Almas East, Jumeirah Lake Towers, Dubai","2","3","2024-02-27T08:17:40+00:00","buy","7122689100","apartment","2500000"
"11175808","Spacious Living | 3 bhk |Pool View | Brand New","Binghatti Crest, Jumeirah Village Circle, Dubai","2","3","2024-03-04T05:49:04+00:00","buy","71446819503","apartment","1550000"
"11191935","Investment | Branded Residences | Beach Living","Damac Bay 2, Dubai Harbour, Dubai","2","3","2024-03-06T12:29:37+00:00","buy","1950679726","apartment","7373000"
"10756889","Golf Views | Fully Furnished | 2 Balconies","Seven City JLT, Jumeirah Lake Towers, Dubai","2","3","2023-12-20T08:06:24+00:00","buy","71199076529","apartment","1950000"
"11214543","Stylish Studio apartment | 50/50 PP | Q1 2027","Cello Residences, Jumeirah Village Circle, Dubai","2","0","2024-03-11T04:19:59+00:00","buy","0911684486","apartment","614000"
"10319845","Azizi Riveria 44 | 3 Bedroom Apartment |","AZIZI Riviera, Meydan One, Meydan, Dubai","2","3","2023-09-26T09:46:06+00:00","buy","71381122762","apartment","2300000"
"10717878","VACANT NOW | UPGRADED DESIGN | FULLY FURNISHED","AZIZI Riviera, Meydan One, Meydan, Dubai","2","3","2023-12-13T09:45:59+00:00","buy","71150511218","apartment","2000000"
"10863839","Investor Deal| Good Location| Park View | Tenanted","Parkviews, Town Square, Dubai","2","3","2024-01-11T03:26:48+00:00","buy","7193205388","apartment","1700000"
"11240937","Bright | High Floor | Spacious 3 BR","AZIZI Riviera 14, Meydan One, Meydan, Dubai","2","3","2024-03-14T13:25:48+00:00","buy","71150513756","apartment","2300000"
"11243652","Radiant Boulevard | Prime Location | Low Price","Radiant Square, City Of Lights, Al Reem Island, Abu Dhabi","2","3","2024-03-15T05:02:31+00:00","buy","","apartment","1200000"
